NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
57,"하이큐!! 리에프 등장! & VS""낙제점""",미츠나카 스스무,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,20250731,개봉영화,장편,일본,51,14560800,2082,5703500,797,애니메이션,12세이상관람가,일반영화
7,좀비딸,필감성,스튜디오엔(주),,(주)넥스트엔터테인먼트월드(NEW),20250730,개봉영화,장편,한국,"1,557",5915790300,703001,1134526320,131016,코미디,12세이상관람가,일반영화
15,배드 가이즈 2,피에르 페리펠,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250730,개봉영화,장편,미국,674,752128730,85757,167023150,18056,애니메이션,전체관람가,일반영화
28,고고다이노 극장판: 게코도마뱀의 꿈,이원재,(주)모꼬지,,(주)모꼬지,20250730,개봉영화,장편,한국,179,123833400,13672,22724000,2571,애니메이션,전체관람가,일반영화
67,엣 더 벤치,오쿠야마 요시유키,,(주)도키엔터테인먼트,와이드 릴리즈(주),20250730,개봉영화,장편,일본,34,11273000,1238,7655600,841,드라마,전체관람가,독립/예술영화
78,우리 둘 사이에,성지혜,(주)영화사진,,㈜인디스토리,20250730,개봉영화,장편,한국,32,8493900,937,6586800,718,드라마,12세이상관람가,독립/예술영화
86,반 고흐. 밀밭과 구름 낀 하늘,,,일미디어,일미디어,20250730,개봉영화,장편,이탈리아,20,5679700,725,3932700,453,다큐멘터리,전체관람가,독립/예술영화
21,꼬마마법사 주니토니,서동해,,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",20250726,개봉영화,장편,한국,170,253116300,28011,44387400,4942,애니메이션,전체관람가,일반영화
41,극장판 다이노맨: 공룡산의 비밀,김호락,"(주)스튜디오버튼 ,(주)플레이그램",,(주)플레이그램,20250725,개봉영화,장편,한국,91,42267500,5884,12291300,1713,애니메이션,전체관람가,일반영화
45,귀멸의 칼날: 도공 마을 이어진 인연편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250725,개봉영화,장편,일본,107,43512500,4082,11436400,1093,애니메이션,15세이상관람가,일반영화
49,귀멸의 칼날: 도공 마을 적습편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250725,개봉영화,장편,일본,100,31479300,3058,8001800,757,애니메이션,15세이상관람가,일반영화
94,사조영웅전: 협지대자,서극,,"(주)스튜디오디에이치엘,(주)키노라이츠","(주)스튜디오디에이치엘,(주)키노라이츠",20250725,개봉영화,장편,중국,2,5365000,471,5365000,471,전쟁,15세이상관람가,일반영화
9,판타스틱 4: 새로운 출발,맷 샤크먼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20250724,개봉영화,장편,미국,"1,027",5089875540,473360,1627886640,141220,액션,12세이상관람가,일반영화
12,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,변희선,더핑크퐁컴퍼니(주),,(주)넥스트엔터테인먼트월드(NEW),20250724,개봉영화,장편,한국,577,1092918930,117436,158895150,15787,애니메이션,전체관람가,독립/예술영화
5,전지적 독자 시점,김병우,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,20250723,개봉영화,장편,한국,"1,581",8330369660,857517,2177495100,212908,판타지,15세이상관람가,일반영화
25,이사,소마이 신지,,찬란,(주)에이유앤씨,20250723,개봉영화,장편,일본,80,168554400,16942,111390700,10766,드라마,12세이상관람가,독립/예술영화
44,대탈출 : 더 스토리 특별판,,주식회사 티빙,,씨제이 씨지브이(CJ CGV)(주),20250723,개봉영화,장편,한국,21,43352000,4353,26544000,2659,어드벤처,15세이상관람가,일반영화
54,8과 1/2,페데리코 펠리니,,일미디어,일미디어,20250723,개봉영화,장편,이탈리아,23,23013300,2440,14446700,1462,드라마,15세이상관람가,독립/예술영화
69,뮤지컬 오지게 재밌는 가시나들,,라이브(주),,(주)한국영상연합,20250723,개봉영화,장편,한국,14,24491000,1227,17029000,853,뮤지컬,전체관람가,일반영화
72,망국전쟁 : 뉴라이트의 시작,구진형,,,주식회사 한류역사문화티브이,20250723,개봉영화,장편,한국,28,10730300,1139,7648300,787,다큐멘터리,12세이상관람가,일반영화
80,아이 킬 유,유하,올픽처스 주식회사,,(주)트리플픽쳐스,20250723,개봉영화,장편,한국,22,9126700,870,4003400,378,액션,15세이상관람가,일반영화
91,오키나와 블루노트,조성규,(주)와우,,(주)와우,20250723,개봉영화,장편,한국,12,4836620,494,3282420,325,드라마,15세이상관람가,독립/예술영화
100,비밀의 화원,김성환,㈜스튜디오 하이파이브,,미디어나무(주),20250723,개봉영화,장편,한국,11,3409000,379,2145500,232,드라마,12세이상관람가,독립/예술영화
31,킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,히시다 마사카즈,,,동우에이앤이(주),20250718,개봉영화,장편,일본,46,86673950,9103,53500810,5655,애니메이션,전체관람가,일반영화
33,귀멸의 칼날: 환락의 거리 결전편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250718,개봉영화,장편,일본,116,86090100,8424,21425400,2033,애니메이션,15세이상관람가,일반영화
46,스파이에어 저스트 라이크 디스 2024,,,에스엠지홀딩스 주식회사,씨지브이 아이스콘,20250718,개봉영화,장편,일본,23,76508000,3616,40580000,1955,공연,전체관람가,일반영화
50,귀멸의 칼날: 환락의 거리 잠입편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250718,개봉영화,장편,일본,106,30743500,3038,6614400,648,애니메이션,15세이상관람가,일반영화
60,2024 태민 월드 투어 [이페머럴 게이즈],,,,씨제이 씨지브이(CJ CGV)(주),20250718,개봉영화,장편,한국,8,35174000,1760,27287000,1365,공연,전체관람가,일반영화
22,이상한 집,이시카와 준이치,,(주)바이포엠스튜디오,(주)바이포엠스튜디오,20250717,개봉영화,장편,일본,140,240122000,26344,65719100,7575,스릴러,15세이상관람가,일반영화
64,구마수녀 - 들러붙었구나,노홍진,주식회사 표범영화사,,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",20250717,개봉영화,장편,한국,38,14038700,1517,6684500,710,공포(호러),15세이상관람가,독립/예술영화
4,킹 오브 킹스,장성호,(주)모팩스튜디오,,(주)디스테이션,20250716,개봉영화,장편,한국,"1,191",8212454676,875071,2066019740,211939,애니메이션,전체관람가,일반영화
8,명탐정 코난: 척안의 잔상,시게하라 카츠야,,(주)씨제이이엔엠,(주)씨제이이엔엠,20250716,개봉영화,장편,일본,901,5926936580,606565,1532126820,148482,애니메이션,12세이상관람가,일반영화
14,극장판 도라에몽: 진구의 그림이야기,테라모토 유키요,,대원미디어(주),롯데컬처웍스(주)롯데시네마,20250716,개봉영화,장편,일본,204,774574600,88879,176741400,20452,애니메이션,전체관람가,일반영화
23,메간 2.0,제라드 존스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250716,개봉영화,장편,미국,427,206373650,22158,53022250,5264,공포(호러),15세이상관람가,일반영화
27,커미션,신재민,(주)팬엔터테인먼트,,"(주)팬엔터테인먼트,(주)미디어캐슬",20250716,개봉영화,장편,한국,127,97474060,14343,38096660,5023,미스터리,15세이상관람가,일반영화
29,미세리코르디아,알랭 기로디,,엠엔엠인터내셔널(주),엠엔엠인터내셔널(주),20250716,개봉영화,장편,프랑스,42,120902750,12333,86212450,8442,드라마,청소년관람불가,독립/예술영화
63,씨그널: 바다의 마지막 신호,"박정례,이지윤","(주)보더레스랩,주식회사 망그로브",,"(주)보더레스랩,(주)스튜디오디에이치엘",20250716,개봉영화,장편,한국,22,13636860,1540,6735260,769,다큐멘터리,전체관람가,독립/예술영화
75,일과 날,"박민수,안건형",비우무비,,스튜디오 에이드,20250716,개봉영화,장편,한국,22,8771900,980,7601600,817,다큐멘터리,전체관람가,독립/예술영화
79,꿈꾸는 사진관,정초신,신희재 프로덕션,,시네마 뉴원,20250716,개봉영화,장편,한국,11,4586500,899,3298000,721,드라마,전체관람가,독립/예술영화
32,우리들의 교복시절,촹칭션,,에무 시네마 앤 카페,"(주)스튜디오 산타클로스엔터테인먼트,에무 시네마 앤 카페",20250711,개봉영화,장편,대만,124,81107840,8462,49044440,4967,드라마,전체관람가,독립/예술영화
24,영화 코바야시네 메이드래곤 외로움쟁이 용,이시하라 타츠야,,(주)애니플러스,(주)애니플러스,20250710,개봉영화,장편,일본,156,201362500,21237,86103100,9050,애니메이션,12세이상관람가,일반영화
40,세븐틴 월드 투어 '비 더 선',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,123979500,6199,47820000,2391,공연,전체관람가,일반영화
47,엔하이픈 월드 투어 '페이트',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,62400000,3120,27540000,1377,공연,전체관람가,일반영화
48,방탄소년단 '맵 오브 더 소울 : 원',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,53,62179000,3109,26960000,1348,공연,전체관람가,일반영화
52,투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,59600000,2980,22880000,1144,공연,전체관람가,일반영화
6,슈퍼맨,제임스 건,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250709,개봉영화,장편,미국,"1,286",8636311460,855086,2691275690,248116,액션,12세이상관람가,일반영화
13,괴기열차,탁세웅,(주)메이킹에이프린트,,(주)넥스트엔터테인먼트월드(NEW),20250709,개봉영화,장편,한국,578,970377050,104706,193867350,20071,공포(호러),15세이상관람가,일반영화
35,발코니의 여자들,노에미 멜랑,,그린나래미디어(주),"그린나래미디어(주),(주)플레이그램",20250709,개봉영화,장편,프랑스,45,71788700,7548,49398500,4881,코미디,청소년관람불가,독립/예술영화
36,봄밤,강미자,월원영화사,,(주)시네마달,20250709,개봉영화,장편,한국,63,59443400,7001,35236900,3876,드라마,15세이상관람가,독립/예술영화
38,여름이 지나가면,장병기,㈜스튜디오 하이파이브,,(주)엣나인필름,20250709,개봉영화,장편,한국,58,59404600,6388,42658000,4380,드라마,15세이상관람가,독립/예술영화
62,뮤지컬 라파치니의 정원,,,,(주)한국영상연합,20250709,개봉영화,장편,한국,14,31815500,1603,20498000,1030,공연,12세이상관람가,일반영화
1,쥬라기 월드: 새로운 시작,가렛 에드워즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250702,개봉영화,장편,미국,"1,645",20932607270,2197682,5107721140,510705,어드벤처,12세이상관람가,일반영화
59,된장이,조한별,한국영화아카데미,,(주)영화특별시에스엠씨,20250702,개봉영화,장편,한국,31,15738200,1977,10489100,1220,코미디,12세이상관람가,독립/예술영화
66,사스콰치 선셋,"데이비드 젤너,나단 젤너",,(주)스튜디오디에이치엘,(주)스튜디오디에이치엘,20250702,개봉영화,장편,미국,40,11185300,1251,5667600,592,코미디,15세이상관람가,독립/예술영화
43,위장수사,,,(주)호라이즌웍스,"(주)스마일이엔티,주식회사 블루필름웍스",20250627,개봉영화,장편,몽고,61,38621200,4554,10383900,1162,범죄,15세이상관람가,일반영화
95,씨지브이 에이아이 영화제 수상작,,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),20250627,개봉영화,장편,한국,25,2366000,470,1585000,317,드라마,12세이상관람가,일반영화
2,F1 더 무비,조셉 코신스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250625,개봉영화,장편,미국,"1,665",23128370890,2177563,8031763760,717678,드라마,12세이상관람가,일반영화
